Hidden_neurons,Dropout,Activation,val_loss,val_acc,val_auc_pr
10,0.1,relu,0.21508751809597015,0.9089990258216858,0.9724870324134827
20,0.1,relu,0.13132883608341217,0.9517033100128174,0.9877951145172119
30,0.1,relu,0.1093432828783989,0.9594690203666687,0.991168737411499
40,0.1,relu,0.10736440867185593,0.9605348706245422,0.9912145137786865
50,0.1,relu,0.09287315607070923,0.9654213190078735,0.9924315810203552
60,0.1,relu,0.08627153933048248,0.9685359001159668,0.9937516450881958
70,0.1,relu,0.08125455677509308,0.9704046249389648,0.9937225580215454
80,0.1,relu,0.07749398797750473,0.9718858003616333,0.9948117136955261
90,0.1,relu,0.07612238079309464,0.9728270769119263,0.9945622682571411
100,0.1,relu,0.07628285139799118,0.972259521484375,0.9943394064903259
120,0.1,relu,0.0683886930346489,0.9752771854400635,0.9954196214675903
10,0.1,tanh,0.2995551824569702,0.8761091232299805,0.9430011510848999
20,0.1,tanh,0.2853277921676636,0.8813831210136414,0.9472650289535522
30,0.1,tanh,0.2664872705936432,0.8896471261978149,0.9546029567718506
40,0.1,tanh,0.25745847821235657,0.8943674564361572,0.9561949968338013
50,0.1,tanh,0.2601046562194824,0.8918342590332031,0.9562634229660034
60,0.1,tanh,0.2582683563232422,0.8938414454460144,0.9565683603286743
70,0.1,tanh,0.25162017345428467,0.8955440521240234,0.9590069055557251
80,0.1,tanh,0.2515875995159149,0.8952118754386902,0.9578508138656616
90,0.1,tanh,0.24967680871486664,0.8969144821166992,0.9578295946121216
100,0.1,tanh,0.2511855363845825,0.8956825137138367,0.9589915871620178
120,0.1,tanh,0.24929110705852509,0.8965822458267212,0.9584991931915283
10,0.1,sigmoid,0.29440996050834656,0.8715272545814514,0.9452069997787476
20,0.1,sigmoid,0.27985909581184387,0.8776871562004089,0.9498197436332703
30,0.1,sigmoid,0.26680901646614075,0.8848991394042969,0.9534657001495361
40,0.1,sigmoid,0.26321032643318176,0.8866710066795349,0.9545555114746094
50,0.1,sigmoid,0.2625747621059418,0.8878614902496338,0.9543019533157349
60,0.1,sigmoid,0.25917479395866394,0.8898686170578003,0.9555400609970093
70,0.1,sigmoid,0.25660958886146545,0.890809953212738,0.9559791088104248
80,0.1,sigmoid,0.2520907521247864,0.8927894234657288,0.95854651927948
90,0.1,sigmoid,0.2499053180217743,0.8932046890258789,0.9589993357658386
100,0.1,sigmoid,0.25112637877464294,0.8933016061782837,0.9573931694030762
120,0.1,sigmoid,0.2500244677066803,0.8936476707458496,0.9581648707389832
10,0.2,relu,0.2053048461675644,0.9178997874259949,0.9754970073699951
20,0.2,relu,0.13747602701187134,0.950554370880127,0.9873961806297302
30,0.2,relu,0.12048108130693436,0.9557453393936157,0.9889779090881348
40,0.2,relu,0.10815825313329697,0.9611162543296814,0.990947961807251
50,0.2,relu,0.10025002807378769,0.9639401435852051,0.9927802085876465
60,0.2,relu,0.0870819166302681,0.9680098295211792,0.9934098124504089
70,0.2,relu,0.08649280667304993,0.9690619111061096,0.9931709170341492
80,0.2,relu,0.08171144127845764,0.969878613948822,0.9938533902168274
90,0.2,relu,0.08176777511835098,0.970819890499115,0.994289219379425
100,0.2,relu,0.0747872143983841,0.9725502133369446,0.994606614112854
120,0.2,relu,0.07398628443479538,0.972854733467102,0.9947285652160645
10,0.2,tanh,0.3139936327934265,0.8722747564315796,0.9377610683441162
20,0.2,tanh,0.3045056164264679,0.8780747652053833,0.9443143606185913
30,0.2,tanh,0.2863604426383972,0.8831273317337036,0.9495366811752319
40,0.2,tanh,0.2809612452983856,0.8849268555641174,0.951526939868927
50,0.2,tanh,0.27177149057388306,0.8880690932273865,0.9530905485153198
60,0.2,tanh,0.28252989053726196,0.8841516375541687,0.9500940442085266
70,0.2,tanh,0.26976314187049866,0.8899239897727966,0.9540017247200012
80,0.2,tanh,0.26790851354599,0.8895640969276428,0.9535974264144897
90,0.2,tanh,0.26513049006462097,0.8908376097679138,0.9547737836837769
100,0.2,tanh,0.2673127055168152,0.8900485634803772,0.9534131288528442
120,0.2,tanh,0.2673257887363434,0.8912390470504761,0.955482006072998
10,0.2,sigmoid,0.31177183985710144,0.8656995296478271,0.9379963874816895
20,0.2,sigmoid,0.28800827264785767,0.8738112449645996,0.9470794200897217
30,0.2,sigmoid,0.2783036530017853,0.8784208297729492,0.9504749774932861
40,0.2,sigmoid,0.27184754610061646,0.8823106288909912,0.9520696401596069
50,0.2,sigmoid,0.2709920406341553,0.8834872245788574,0.9509429931640625
60,0.2,sigmoid,0.2653215825557709,0.8849268555641174,0.9548444747924805
70,0.2,sigmoid,0.2631416916847229,0.8860757946968079,0.9549084901809692
80,0.2,sigmoid,0.2609228193759918,0.8879860639572144,0.9552528858184814
90,0.2,sigmoid,0.25761494040489197,0.8893149495124817,0.9564995169639587
100,0.2,sigmoid,0.2591899335384369,0.8897717595100403,0.9553185105323792
120,0.2,sigmoid,0.2580239474773407,0.8897302150726318,0.9565629363059998
10,0.3,relu,0.2135511040687561,0.9183704257011414,0.9726710915565491
20,0.3,relu,0.13122138381004333,0.9524785280227661,0.9886512756347656
30,0.3,relu,0.123143270611763,0.9558976292610168,0.989432692527771
40,0.3,relu,0.11436489969491959,0.9587353467941284,0.9910297989845276
50,0.3,relu,0.10666846483945847,0.9607701897621155,0.9912472367286682
60,0.3,relu,0.09248412400484085,0.9658781290054321,0.9930238723754883
70,0.3,relu,0.08839137852191925,0.9673454165458679,0.9934707283973694
80,0.3,relu,0.08732480555772781,0.9684666395187378,0.993598461151123
90,0.3,relu,0.08174954354763031,0.9706953167915344,0.9945129752159119
100,0.3,relu,0.08227546513080597,0.9704322814941406,0.9942623376846313
120,0.3,relu,0.07926513254642487,0.9709582924842834,0.9946813583374023
10,0.3,tanh,0.335873007774353,0.8653258085250854,0.9320529699325562
20,0.3,tanh,0.30825990438461304,0.8734790682792664,0.9425956010818481
30,0.3,tanh,0.30265018343925476,0.8793344497680664,0.9433045387268066
40,0.3,tanh,0.2964003086090088,0.8790299296379089,0.9476276636123657
50,0.3,tanh,0.2854333817958832,0.8835010528564453,0.9496126174926758
60,0.3,tanh,0.2968995273113251,0.8794174790382385,0.9465103149414062
70,0.3,tanh,0.28584277629852295,0.8844423294067383,0.9501676559448242
80,0.3,tanh,0.28080272674560547,0.884456217288971,0.950998842716217
90,0.3,tanh,0.2848052978515625,0.8846915364265442,0.9499397277832031
100,0.3,tanh,0.2826899588108063,0.8846638202667236,0.9493946433067322
120,0.3,tanh,0.27956944704055786,0.8848576545715332,0.9509295225143433
10,0.3,sigmoid,0.32667312026023865,0.8566880226135254,0.9333425760269165
20,0.3,sigmoid,0.3013518452644348,0.8669730424880981,0.9423990845680237
30,0.3,sigmoid,0.2909006178379059,0.8730360865592957,0.9454745054244995
40,0.3,sigmoid,0.2804088890552521,0.878517746925354,0.9490230083465576
50,0.3,sigmoid,0.27959373593330383,0.8781716823577881,0.9479809999465942
60,0.3,sigmoid,0.2741035223007202,0.8804003000259399,0.9510791897773743
70,0.3,sigmoid,0.2743697762489319,0.8811339735984802,0.9509060382843018
80,0.3,sigmoid,0.2696804702281952,0.8837225437164307,0.9516869783401489
90,0.3,sigmoid,0.26765334606170654,0.8842623829841614,0.9526422619819641
100,0.3,sigmoid,0.26738670468330383,0.885217547416687,0.9525214433670044
120,0.3,sigmoid,0.268095463514328,0.8852313756942749,0.952888011932373
