kernel_size,poolsize,Dropout,Activation,Filters,val_loss,val_acc,val_auc_pr
2,2,0.1,relu,10,0.2303464114665985,0.90609210729599,0.9665756225585938
2,2,0.1,relu,32,0.1830855906009674,0.9277695417404175,0.9772764444351196
2,2,0.1,relu,64,0.1657104790210724,0.935770571231842,0.9795867800712585
2,2,0.1,relu,80,0.16064101457595825,0.939092755317688,0.9818291068077087
2,2,0.1,relu,120,0.1607060432434082,0.9382345080375671,0.982209324836731
2,2,0.1,sigmoid,10,0.3539135158061981,0.8531858921051025,0.9176602363586426
2,2,0.1,sigmoid,32,0.3479093909263611,0.8555529117584229,0.9202064275741577
2,2,0.1,sigmoid,64,0.31340256333351135,0.8692570924758911,0.9381126165390015
2,2,0.1,sigmoid,80,0.3087960481643677,0.8691463470458984,0.938636064529419
2,2,0.1,sigmoid,120,0.2985512614250183,0.8789745569229126,0.9454679489135742
2,2,0.1,tanh,10,0.26702946424484253,0.8943120837211609,0.9552038908004761
2,2,0.1,tanh,32,0.2361212968826294,0.9074209928512573,0.9612099528312683
2,2,0.1,tanh,64,0.2304382473230362,0.9109923839569092,0.9640166759490967
2,2,0.1,tanh,80,0.22803819179534912,0.9115599393844604,0.963571310043335
2,2,0.1,tanh,120,0.2205193042755127,0.9189795255661011,0.9667495489120483
2,2,0.2,relu,10,0.22833289206027985,0.9102033376693726,0.967488706111908
2,2,0.2,relu,32,0.18552403151988983,0.9274926781654358,0.9762226343154907
2,2,0.2,relu,64,0.17121589183807373,0.9330989122390747,0.979358434677124
2,2,0.2,relu,80,0.17144794762134552,0.9325314164161682,0.9760857224464417
2,2,0.2,relu,120,0.15981797873973846,0.9375977516174316,0.980438232421875
2,2,0.2,sigmoid,10,0.3924771845340729,0.8398970365524292,0.8970814347267151
2,2,0.2,sigmoid,32,0.33714574575424194,0.8580584526062012,0.928083062171936
2,2,0.2,sigmoid,64,0.33021387457847595,0.8596642017364502,0.9294525980949402
2,2,0.2,sigmoid,80,0.3282996416091919,0.8602040410041809,0.9301785230636597
2,2,0.2,sigmoid,120,0.32001248002052307,0.8631248474121094,0.9338192939758301
2,2,0.2,tanh,10,0.30527016520500183,0.8803034424781799,0.9405156970024109
2,2,0.2,tanh,32,0.2534797489643097,0.9021192789077759,0.9596017599105835
2,2,0.2,tanh,64,0.24613259732723236,0.9076563119888306,0.9621848464012146
2,2,0.2,tanh,80,0.23798306286334991,0.9105355739593506,0.96148282289505
2,2,0.2,tanh,120,0.2529485523700714,0.9014963507652283,0.9536679983139038
2,2,0.3,relu,10,0.233266681432724,0.9061890244483948,0.96451336145401
2,2,0.3,relu,32,0.1889209896326065,0.9254440069198608,0.9769505858421326
2,2,0.3,relu,64,0.17522992193698883,0.9327528476715088,0.978943943977356
2,2,0.3,relu,80,0.17434296011924744,0.930607259273529,0.9797201156616211
2,2,0.3,relu,120,0.1662917137145996,0.9355629086494446,0.9814367294311523
2,2,0.3,sigmoid,10,0.38394176959991455,0.8379867672920227,0.9027783870697021
2,2,0.3,sigmoid,32,0.35495951771736145,0.8514970541000366,0.9175305962562561
2,2,0.3,sigmoid,64,0.35009512305259705,0.852992057800293,0.9190084934234619
2,2,0.3,sigmoid,80,0.347605437040329,0.8533381223678589,0.9201346039772034
2,2,0.3,sigmoid,120,0.33305901288986206,0.8585014343261719,0.928596019744873
2,2,0.3,tanh,10,0.326762318611145,0.8644813895225525,0.9344955086708069
2,2,0.3,tanh,32,0.2672158479690552,0.8967207074165344,0.9530242681503296
2,2,0.3,tanh,64,0.25897589325904846,0.8990462422370911,0.9537968635559082
2,2,0.3,tanh,80,0.2558445632457733,0.9030606150627136,0.9540936946868896
2,2,0.3,tanh,120,0.2432090938091278,0.9107985496520996,0.9620169401168823
2,3,0.1,relu,10,0.30628037452697754,0.8752647638320923,0.9431985020637512
2,3,0.1,relu,32,0.21938244998455048,0.9126535058021545,0.9685331583023071
2,3,0.1,relu,64,0.18719780445098877,0.9278110861778259,0.9757744669914246
2,3,0.1,relu,80,0.19926179945468903,0.9191318154335022,0.9695070385932922
2,3,0.1,relu,120,0.17912809550762177,0.9301089644432068,0.9760406017303467
2,3,0.1,sigmoid,10,0.34591513872146606,0.8562450408935547,0.9272632002830505
2,3,0.1,sigmoid,32,0.31712040305137634,0.8704198598861694,0.938069760799408
2,3,0.1,sigmoid,64,0.2953985333442688,0.878683865070343,0.9461684226989746
2,3,0.1,sigmoid,80,0.2979796230792999,0.8746694922447205,0.9424871802330017
2,3,0.1,sigmoid,120,0.2885144352912903,0.8836809992790222,0.9494883418083191
2,3,0.1,tanh,10,0.2627217769622803,0.9012056589126587,0.9557785987854004
2,3,0.1,tanh,32,0.22339460253715515,0.9151312708854675,0.9656527042388916
2,3,0.1,tanh,64,0.20793022215366364,0.9234091639518738,0.9716544151306152
2,3,0.1,tanh,80,0.20870251953601837,0.9219141602516174,0.9705612659454346
2,3,0.1,tanh,120,0.203690767288208,0.9265652298927307,0.9722581505775452
2,3,0.2,relu,10,0.26734229922294617,0.890145480632782,0.9568292498588562
2,3,0.2,relu,32,0.22425556182861328,0.9141761660575867,0.9699554443359375
2,3,0.2,relu,64,0.20102272927761078,0.9238659739494324,0.9747890830039978
2,3,0.2,relu,80,0.19779935479164124,0.924087405204773,0.9748023748397827
2,3,0.2,relu,120,0.19568853080272675,0.9242950677871704,0.9752840995788574
2,3,0.2,sigmoid,10,0.3949466347694397,0.8265942931175232,0.9039502143859863
2,3,0.2,sigmoid,32,0.3391014337539673,0.8615052103996277,0.9317910075187683
2,3,0.2,sigmoid,64,0.3170270323753357,0.8738112449645996,0.9419453144073486
2,3,0.2,sigmoid,80,0.31060081720352173,0.8711258172988892,0.9421066045761108
2,3,0.2,sigmoid,120,0.3022310733795166,0.8761506676673889,0.9447430968284607
2,3,0.2,tanh,10,0.29291611909866333,0.8925541043281555,0.948085606098175
2,3,0.2,tanh,32,0.2647053301334381,0.9087914228439331,0.9588867425918579
2,3,0.2,tanh,64,0.22010239958763123,0.921263575553894,0.9690896272659302
2,3,0.2,tanh,80,0.2179233431816101,0.9207375049591064,0.9689056873321533
2,3,0.2,tanh,120,0.22149977087974548,0.9224817156791687,0.968659520149231
2,3,0.3,relu,10,0.28181082010269165,0.8883182406425476,0.9527384638786316
2,3,0.3,relu,32,0.2293405532836914,0.9095942974090576,0.9667305946350098
2,3,0.3,relu,64,0.2095905989408493,0.9181212782859802,0.9721434712409973
2,3,0.3,relu,80,0.20040391385555267,0.9214573502540588,0.9747130870819092
2,3,0.3,relu,120,0.197011336684227,0.9241289496421814,0.9751265048980713
2,3,0.3,sigmoid,10,0.3980133831501007,0.8253761529922485,0.9023497700691223
2,3,0.3,sigmoid,32,0.35759347677230835,0.8472335934638977,0.9243166446685791
2,3,0.3,sigmoid,64,0.34652477502822876,0.8558436632156372,0.9278755187988281
2,3,0.3,sigmoid,80,0.33149826526641846,0.8652427196502686,0.9358242154121399
2,3,0.3,sigmoid,120,0.32042232155799866,0.8705720901489258,0.9399592876434326
2,3,0.3,tanh,10,0.31267139315605164,0.8781716823577881,0.9436711072921753
2,3,0.3,tanh,32,0.24495692551136017,0.9097050428390503,0.9628355503082275
2,3,0.3,tanh,64,0.2456800639629364,0.9092897176742554,0.9612168669700623
2,3,0.3,tanh,80,0.23904672265052795,0.9162110090255737,0.9653846025466919
2,3,0.3,tanh,120,0.22506585717201233,0.9225647449493408,0.9677660465240479
3,2,0.1,relu,10,0.18139520287513733,0.9302335381507874,0.9771627187728882
3,2,0.1,relu,32,0.1522323042154312,0.9442421793937683,0.983487069606781
3,2,0.1,relu,64,0.1258963793516159,0.9529491662979126,0.9866294860839844
3,2,0.1,relu,80,0.12882518768310547,0.9521739482879639,0.9859341382980347
3,2,0.1,relu,120,0.11848360300064087,0.956479012966156,0.9879374504089355
3,2,0.1,sigmoid,10,0.3461667001247406,0.8614360094070435,0.9190865159034729
3,2,0.1,sigmoid,32,0.2830978333950043,0.8829473853111267,0.948890209197998
3,2,0.1,sigmoid,64,0.26798316836357117,0.8908237814903259,0.9562424421310425
3,2,0.1,sigmoid,80,0.2570282220840454,0.8950180411338806,0.9588148593902588
3,2,0.1,sigmoid,120,0.2568773031234741,0.8957794308662415,0.959465503692627
3,2,0.1,tanh,10,0.19570614397525787,0.9263852834701538,0.9715856313705444
3,2,0.1,tanh,32,0.17540685832500458,0.9364488124847412,0.9767633676528931
3,2,0.1,tanh,64,0.16655807197093964,0.9389958381652832,0.9776161909103394
3,2,0.1,tanh,80,0.16210076212882996,0.9438684582710266,0.9801807403564453
3,2,0.1,tanh,120,0.15067297220230103,0.9468307495117188,0.9821611642837524
3,2,0.2,relu,10,0.20753109455108643,0.9203222393989563,0.9705934524536133
3,2,0.2,relu,32,0.1465878039598465,0.9449620246887207,0.9853876829147339
3,2,0.2,relu,64,0.1390870213508606,0.946221649646759,0.9830732941627502
3,2,0.2,relu,80,0.1276564747095108,0.9530183672904968,0.9870702028274536
3,2,0.2,relu,120,0.12025798112154007,0.9541119337081909,0.9864289164543152
3,2,0.2,sigmoid,10,0.3547486662864685,0.8562727570533752,0.9152103662490845
3,2,0.2,sigmoid,32,0.313712477684021,0.8695616126060486,0.9367568492889404
3,2,0.2,sigmoid,64,0.29081445932388306,0.8790437579154968,0.9454764127731323
3,2,0.2,sigmoid,80,0.273179292678833,0.8862972259521484,0.9521539211273193
3,2,0.2,sigmoid,120,0.26028403639793396,0.8932046890258789,0.9573095440864563
3,2,0.2,tanh,10,0.21374835073947906,0.9195055365562439,0.9691824316978455
3,2,0.2,tanh,32,0.18522638082504272,0.9349953532218933,0.9759352803230286
3,2,0.2,tanh,64,0.17985421419143677,0.9330435395240784,0.9742641448974609
3,2,0.2,tanh,80,0.17001773416996002,0.9404631853103638,0.9785520434379578
3,2,0.2,tanh,120,0.15931007266044617,0.9419166445732117,0.979073703289032
3,2,0.3,relu,10,0.20198094844818115,0.9194501638412476,0.9720866084098816
3,2,0.3,relu,32,0.15128397941589355,0.9428163766860962,0.9833611249923706
3,2,0.3,relu,64,0.13901321589946747,0.948505699634552,0.985601544380188
3,2,0.3,relu,80,0.13532961905002594,0.9480212330818176,0.9829286932945251
3,2,0.3,relu,120,0.12054688483476639,0.9556761384010315,0.9881597757339478
3,2,0.3,sigmoid,10,0.3749440014362335,0.8460292816162109,0.9061414003372192
3,2,0.3,sigmoid,32,0.31997260451316833,0.8676375150680542,0.9356383085250854
3,2,0.3,sigmoid,64,0.30321040749549866,0.8750155568122864,0.9407292008399963
3,2,0.3,sigmoid,80,0.30367395281791687,0.8737420439720154,0.940036416053772
3,2,0.3,sigmoid,120,0.28711390495300293,0.8806909918785095,0.9447907209396362
3,2,0.3,tanh,10,0.2489238977432251,0.907199501991272,0.9593651294708252
3,2,0.3,tanh,32,0.198538675904274,0.9258731007575989,0.9711892008781433
3,2,0.3,tanh,64,0.1797425001859665,0.9357290267944336,0.9760857820510864
3,2,0.3,tanh,80,0.17733924090862274,0.940532386302948,0.9778926968574524
3,2,0.3,tanh,120,0.1649743616580963,0.943840742111206,0.9795706272125244
3,3,0.1,relu,10,0.18850970268249512,0.9281156063079834,0.9768352508544922
3,3,0.1,relu,32,0.13776829838752747,0.9468169212341309,0.9835898876190186
3,3,0.1,relu,64,0.11447026580572128,0.9572957158088684,0.9892270565032959
3,3,0.1,relu,80,0.11172568798065186,0.9577248096466064,0.9891338348388672
3,3,0.1,relu,120,0.10765121132135391,0.9584169387817383,0.9887595772743225
3,3,0.1,sigmoid,10,0.29648613929748535,0.8795421123504639,0.9447563886642456
3,3,0.1,sigmoid,32,0.25772958993911743,0.8959593772888184,0.9590041637420654
3,3,0.1,sigmoid,64,0.23915770649909973,0.9040572643280029,0.9654114246368408
3,3,0.1,sigmoid,80,0.23140008747577667,0.9075871109962463,0.9678139686584473
3,3,0.1,sigmoid,120,0.22814007103443146,0.9088329076766968,0.9666782021522522
3,3,0.1,tanh,10,0.18981710076332092,0.9324483275413513,0.9731171131134033
3,3,0.1,tanh,32,0.15491291880607605,0.9440760612487793,0.9813807010650635
3,3,0.1,tanh,64,0.1332656592130661,0.9528937935829163,0.9854204058647156
3,3,0.1,tanh,80,0.1355767697095871,0.9541119337081909,0.9858191013336182
3,3,0.1,tanh,120,0.12867531180381775,0.9582785367965698,0.9871698617935181
3,3,0.2,relu,10,0.17262804508209229,0.9333896040916443,0.979205846786499
3,3,0.2,relu,32,0.13698679208755493,0.9477028250694275,0.9852789640426636
3,3,0.2,relu,64,0.1196238175034523,0.9555931091308594,0.9887468218803406
3,3,0.2,relu,80,0.1230095624923706,0.9524508118629456,0.9862022995948792
3,3,0.2,relu,120,0.11229022592306137,0.9586799740791321,0.989727258682251
3,3,0.2,sigmoid,10,0.33540433645248413,0.8617128729820251,0.9297179579734802
3,3,0.2,sigmoid,32,0.28077825903892517,0.885480523109436,0.9512553215026855
3,3,0.2,sigmoid,64,0.2598055601119995,0.8944920301437378,0.9588507413864136
3,3,0.2,sigmoid,80,0.24980901181697845,0.898783266544342,0.9613473415374756
3,3,0.2,sigmoid,120,0.25210291147232056,0.8978557586669922,0.960803747177124
3,3,0.2,tanh,10,0.225141704082489,0.9279633164405823,0.965237557888031
3,3,0.2,tanh,32,0.16703303158283234,0.9406846761703491,0.9779146909713745
3,3,0.2,tanh,64,0.15018022060394287,0.9453495740890503,0.9815825819969177
3,3,0.2,tanh,80,0.13740041851997375,0.9540289044380188,0.9847590923309326
3,3,0.2,tanh,120,0.1353902518749237,0.9534890055656433,0.9846611618995667
3,3,0.3,relu,10,0.18992158770561218,0.9271743297576904,0.9768480062484741
3,3,0.3,relu,32,0.14366763830184937,0.9468030333518982,0.9862776398658752
3,3,0.3,relu,64,0.12314938008785248,0.9554546475410461,0.988294243812561
3,3,0.3,relu,80,0.12188587337732315,0.9557315111160278,0.988357663154602
3,3,0.3,relu,120,0.11250922828912735,0.9572126865386963,0.9883467555046082
3,3,0.3,sigmoid,10,0.3725252151489258,0.8485763072967529,0.9097093939781189
3,3,0.3,sigmoid,32,0.3011084794998169,0.8770503997802734,0.9438040852546692
3,3,0.3,sigmoid,64,0.2708430588245392,0.8898963332176208,0.9550163745880127
3,3,0.3,sigmoid,80,0.26354941725730896,0.8927755951881409,0.9577432870864868
3,3,0.3,sigmoid,120,0.2605094313621521,0.8944920301437378,0.9585357904434204
3,3,0.3,tanh,10,0.226241335272789,0.9218172430992126,0.9641331434249878
3,3,0.3,tanh,32,0.18173706531524658,0.9410030245780945,0.9766762852668762
3,3,0.3,tanh,64,0.16012977063655853,0.9469276666641235,0.9796806573867798
3,3,0.3,tanh,80,0.14913995563983917,0.9518140554428101,0.982614278793335
3,3,0.3,tanh,120,0.13944067060947418,0.9512465000152588,0.9837610721588135
